Species;Tricellaria inopinata;Aetea anguina;Amathia citrina;Amathia imbricata;Amathia gracilis;Bugula neritina;Crisularia plumosa;Cryptosula pallasiana;Microporella ciliata;Celleporina caliciformis;Alcyonidium gelatinosum;Scruparia chelata;Watersipora subtorquata;Bougainvillia muscus;Amphinema dinema;Clytia hemisphaerica;Clytia gracilis;Amphisbetia operculata;Campanularia hincksii;Turritopsis nutricula;Laodicea undulata;Eudendrium racemosum;Halecium pusillum;Obelia dichotoma;Obelia geniculata;Sertularella ellisii;Plumularia setacea;Plumularia strictocarpa;Phialella quadrata;Ampithoe rubricata;Aora typica;Dexamine spiniventris;Dexamine spinosa;Caprella acanthifera;Caprella equilibra;Caprella fretensis;Caprella pennantis;Elasmopus rapax;Jassa marmorata;Jassa herdmani;Jassa slatteryi;Microdeutopus chelifer;Microprotopus maculatus;Phtisica marina;Stenothoe monoculoides;Podocerus variegatus;Cymodoce truncata;Astacilla damnoniensis;Pilumnus hirtellus;Eualus cranchii;Hippolyte varians;Athanas nitescens;Pisidia longicornis;Temora longicornis;Chthamalus montagui;Austrobalanus imperator;Achelia echinata;Endeis spinosa;Hiatella arctica;Polititapes aureus;Cerastoderma edule;Limaria hians;Mytilus edulis;Mercenaria mercenaria;Ensis ensis;Musculus lateralis;Ruditapes philippinarum;Venerupis aspera;Doto coronata;Doto dunnei;Doto koenneckeri;Jorunna tomentosa;Favorinus branchialis;Facelina auriculata;Facelina annulicornis;Edmundsella pedata;Limacia clavigera;Eubranchus exiguus;Berthella plumula;Polycera quadrilineata;Trinchesia foliata;Trinchesia caerulea;Tergipes tergipes;Elysia viridis;Doris pseudoargus;Euspira nitida;Cerithiopsis tubercularis;Rissoa lilacina;Rissoa parva;Crepipatella dilatata;Steromphala umbilicalis;Jujubinus striatus;Tricolia pullus canarica;Tricolia pullus azorica;Patella vulgata;Lepidochitona cinerea;Acanthochitona fascicularis;Acanthochitona crinita;Paracentrotus lividus;Psammechinus miliaris;Strongylocentrotus purpuratus;Aslia lefevrei;Antedon bifida;Ophiothrix fragilis;Harmothoe impar;Harmothoe imbricata;Harmothoe clavigera;Hediste diversicolor;Capitella capitata;Bhawania cryptocephala;Eulalia viridis;Eulalia mustela;Eumida sanguinea;Eumida arctica;Eunice harassii;Platynereis dumerilii;Pholoe inornata;Pholoe baltica;Psamathe fusca;Myrianida brachycephala;Myrianida edwarsi;Myrianida prolifera;Sthenelais boa;Syllidia armata;Syllis gracilis;Sphaerosyllis boeroi;Nereis pelagica;Perinereis aibuhitensis;Laeonereis culveri;Nephtys hombergii;Nephtys incisa;Eurythoe complanata;Ophryotrocha puerilis;Pectinaria koreni;Terebella lapidaria;Polygordius appendiculatus;Spirobranchus triqueter;Spirobranchus latiscapus;Dinophilus gyrociliatus;Notomastus latericeus;Aonides oxycephala;Amphitritides gracilis;Arenicola marina;Sabella spallanzanii;Pionosyllis lamelligera;Thelepus cincinnatus;Laonice cirrata;Tetrastemma flavidum;Cephalothrix rufifrons;Emplectonema gracile;Vieitezia luzmurubeae;Siphonenteron bilineatum ;Tetrastemma vermiculus;Tetrastemma coronatum;Tetrastemma candidum;Tetrastemma peltatum;Vorticeros auriculatum;Microstomum papillosum;Paraplanocera oligoglena;Prostheceraeus vittatus;Asterocarpa humilis
COI_3M_Sla;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COI_3M_PVC;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
COI_3M_Gra;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COI_7J_Sla;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
COI_7J_PVC;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
COI_7J_Gra;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
COI_10O_Sla;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
COI_10O_PVC;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
COI_10O_Gra;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;1;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
COI_15M_Sla;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
